Feature_type,Stage,Feature
sequence,BJ,SP_D_b5_minus_b8
sequence,BJ,SP_ND_b4_vs_b8
sequence,BJ,SP_ND_b8_vs_b10
sequence,BJ,SP_D_b8_minus_b10
sequence,BJ,SP_ND_b8_vs_b9
sequence,BJ,SP_D_b4_minus_b8
sequence,BJ,SP_ND_b7_vs_b9
sequence,BJ,SP_D_b7_minus_b10
sequence,BJ,SP_ND_b5_vs_b8
sequence,BJ,SP_D_b2_minus_b8
sequence,BJ,SP_RAW_b4
sequence,BJ,SP_RAW_b10
sequence,BJ,SP_D_b4_minus_b7
sequence,BJ,TX_asinh_b25
sequence,BJ,SP_D_b1_minus_b4
sequence,BJ,SP_ND_b9_vs_b10
sequence,BJ,SP_ND_b1_vs_b8
sequence,BJ,SP_ND_b2_vs_b8
sequence,BJ,TX_asinh_b17
sequence,BJ,SP_D_b2_minus_b4
sequence,BJ,SP_ND_b3_vs_b8
sequence,BJ,SP_D_b2_minus_b10
sequence,BJ,TX_asinh_b1
sequence,BJ,TX_asinh_b49
sequence,GJ1,SP_D_b1_minus_b4
sequence,GJ1,SP_ND_b4_vs_b9
sequence,GJ1,SP_ND_b1_vs_b4
sequence,GJ1,SP_ND_b5_vs_b6
sequence,GJ1,SP_RAW_b4
sequence,GJ1,SP_ND_b5_vs_b7
sequence,GJ1,SP_D_b5_minus_b6
sequence,GJ1,SP_D_b5_minus_b8
sequence,GJ1,SP_ND_b5_vs_b8
sequence,GJ1,SP_D_b2_minus_b4
sequence,GJ1,SP_ND_b7_vs_b9
sequence,GJ1,SP_D_b1_minus_b9
sequence,GJ1,SP_D_b3_minus_b4
sequence,GJ1,SP_ND_b4_vs_b5
sequence,GJ1,SP_D_b4_minus_b7
sequence,GJ1,SP_D_b3_minus_b10
sequence,GJ1,TX_asinh_b9
sequence,GJ1,SP_ND_b2_vs_b8
sequence,GJ1,SP_RAW_b9
sequence,GJ1,TX_asinh_b25
sequence,GJ1,SP_D_b4_minus_b8
sequence,GJ1,SP_RAW_b10
sequence,GJ1,SP_D_b4_minus_b6
sequence,GJ1,SP_D_b1_minus_b10
sequence,GJ2,SP_D_b4_minus_b8
sequence,GJ2,SP_D_b3_minus_b8
sequence,GJ2,TX_asinh_b49
sequence,GJ2,SP_D_b5_minus_b8
sequence,GJ2,SP_D_b8_minus_b9
sequence,GJ2,SP_ND_b4_vs_b10
sequence,GJ2,SP_ND_b4_vs_b9
sequence,GJ2,SP_ND_b4_vs_b8
sequence,GJ2,TX_asinh_b15
sequence,GJ2,SP_RAW_b8
sequence,GJ2,SP_D_b1_minus_b4
sequence,GJ2,SP_ND_b3_vs_b8
sequence,GJ2,TX_asinh_b57
sequence,GJ2,TX_asinh_b10
sequence,GJ2,SP_D_b2_minus_b6
sequence,GJ2,TX_asinh_b25
sequence,GJ2,SP_D_b7_minus_b10
sequence,GJ2,TX_asinh_b41
sequence,GJ2,SP_D_b2_minus_b7
sequence,GJ2,TX_asinh_b9
sequence,GJ2,SP_ND_b8_vs_b9
sequence,GJ2,SP_ND_b2_vs_b8
sequence,GJ2,SP_R_b8_div_b10
sequence,GJ2,SP_D_b2_minus_b4
sequence,RS,SP_D_b4_minus_b6
sequence,RS,SP_D_b8_minus_b10
sequence,RS,SP_D_b1_minus_b8
sequence,RS,SP_D_b1_minus_b6
sequence,RS,SP_ND_b5_vs_b10
sequence,RS,TX_asinh_b18
sequence,RS,SP_ND_b8_vs_b9
sequence,RS,SP_ND_b1_vs_b8
sequence,RS,TX_asinh_b57
sequence,RS,SP_D_b4_minus_b7
sequence,RS,SP_R_b6_div_b10
sequence,RS,SP_ND_b4_vs_b5
sequence,RS,SP_RAW_b6
sequence,RS,TX_asinh_b41
sequence,RS,SP_D_b7_minus_b10
sequence,RS,SP_RAW_b8
sequence,RS,SP_D_b5_minus_b8
sequence,RS,SP_ND_b4_vs_b9
sequence,RS,SP_ND_b1_vs_b5
sequence,RS,TX_asinh_b17
sequence,RS,SP_ND_b2_vs_b5
sequence,RS,SP_D_b5_minus_b6
sequence,RS,SP_ND_b9_vs_b10
sequence,RS,SP_ND_b5_vs_b9
static,MT,MT_RS_minus_BJ__SP_ND_b2_vs_b10
static,MT,MT_GJ2_div_GJ1__SP_D_b4_minus_b10
static,MT,MT_RS_div_GJ2__TX_asinh_b17
static,MT,MT_RS_minus_BJ__SP_D_b2_minus_b10
static,MT,MT_RS_minus_GJ2__SP_ND_b1_vs_b10
static,MT,MT_RS_div_GJ2__SP_ND_b1_vs_b4
static,MT,MT_RS_div_GJ2__TX_logabs_b41
static,MT,MT_RS_div_GJ2__TX_logabs_b57
static,MT,MT_ND_RS_vs_BJ__TX_asinh_b17
static,MT,MT_RS_minus_GJ2__SP_R_b1_div_b4
static,MT,MT_RS_minus_BJ__TX_logabs_b66
static,MT,MT_RS_div_BJ__SP_R_b2_div_b9
static,MT,MT_RS_div_GJ2__SP_D_b4_minus_b6
static,MT,MT_ND_GJ2_vs_GJ1__SP_ND_b4_vs_b10
static,MT,MT_RS_div_GJ2__TX_asinh_b1
static,MT,MT_RS_div_GJ2__SP_R_b1_div_b6
static,MT,MT_RS_div_BJ__SP_R_b3_div_b10
static,MT,MT_RS_div_GJ2__SP_R_b1_div_b9
static,MT,MT_GJ2_div_GJ1__TX_asinh_b9
static,MT,MT_RS_minus_BJ__SP_D_b5_minus_b6
static,MT,MT_RS_div_BJ__SP_R_b3_div_b9
static,MT,MT_RS_minus_GJ2__SP_ND_b1_vs_b4
static,MT,MT_ND_GJ2_vs_GJ1__TX_logabs_b9
static,MT,MT_RS_minus_BJ__SP_R_b6_div_b10
static,MT,MT_RS_minus_GJ2__SP_R_b1_div_b10
static,MT,MT_RS_div_BJ__SP_D_b5_minus_b10
static,MT,MT_ND_RS_vs_BJ__SP_D_b5_minus_b10
static,MT,MT_ND_RS_vs_BJ__SP_D_b5_minus_b9
static,MT,MT_GJ2_div_GJ1__TX_asinh_b25
static,MT,MT_ND_GJ2_vs_GJ1__TX_asinh_b25
static,MT,MT_GJ2_minus_GJ1__TX_logabs_b10
static,MT,MT_RS_div_GJ2__TX_asinh_b9
